INSERT INTO Coverages (PlanID, ServiceCode) VALUES
('10000000','10000149'),
('10000001','10000148'),
('10000002','10000147'),
('10000003','10000146'),
('10000004','10000145'),
('10000005','10000144'),
('10000006','10000143'),
('10000007','10000142'),
('10000008','10000141'),
('10000009','10000140'),
('10000010','10000139'),
('10000011','10000138'),
('10000012','10000137'),
('10000013','10000136'),
('10000014','10000135'),
('10000015','10000134'),
('10000016','10000133'),
('10000017','10000132'),
('10000018','10000131'),
('10000019','10000130'),
('10000000','10000129'),
('10000001','10000128'),
('10000002','10000127'),
('10000003','10000126'),
('10000004','10000125'),
('10000005','10000124'),
('10000006','10000123'),
('10000007','10000122'),
('10000008','10000121'),
('10000009','10000120'),
('10000010','10000119'),
('10000011','10000118'),
('10000012','10000117'),
('10000013','10000116'),
('10000014','10000115'),
('10000015','10000114'),
('10000016','10000113'),
('10000017','10000112'),
('10000018','10000111'),
('10000019','10000110'),
('10000000','10000109'),
('10000001','10000108'),
('10000002','10000107'),
('10000003','10000106'),
('10000004','10000105'),
('10000005','10000104'),
('10000006','10000103'),
('10000007','10000102'),
('10000008','10000101'),
('10000009','10000100'),
('10000010','10000099'),
('10000011','10000098'),
('10000012','10000097'),
('10000013','10000096'),
('10000014','10000095'),
('10000015','10000094'),
('10000016','10000093'),
('10000017','10000092'),
('10000018','10000091'),
('10000019','10000090'),
('10000000','10000089'),
('10000001','10000088'),
('10000002','10000087'),
('10000003','10000086'),
('10000004','10000085'),
('10000005','10000084'),
('10000006','10000083'),
('10000007','10000082'),
('10000008','10000081'),
('10000009','10000080'),
('10000010','10000079'),
('10000011','10000078'),
('10000012','10000077'),
('10000013','10000076'),
('10000014','10000075'),
('10000015','10000074'),
('10000016','10000073'),
('10000017','10000072'),
('10000018','10000071'),
('10000019','10000070'),
('10000000','10000069'),
('10000001','10000068'),
('10000002','10000067'),
('10000003','10000066'),
('10000004','10000065'),
('10000005','10000064'),
('10000006','10000063'),
('10000007','10000062'),
('10000008','10000061'),
('10000009','10000060'),
('10000010','10000059'),
('10000011','10000058'),
('10000012','10000057'),
('10000013','10000056'),
('10000014','10000055'),
('10000015','10000054'),
('10000016','10000053'),
('10000017','10000052'),
('10000018','10000051'),
('10000019','10000050'),
('10000000','10000049'),
('10000001','10000048'),
('10000002','10000047'),
('10000003','10000046'),
('10000004','10000045'),
('10000005','10000044'),
('10000006','10000043'),
('10000007','10000042'),
('10000008','10000041'),
('10000009','10000040'),
('10000010','10000039'),
('10000011','10000038'),
('10000012','10000037'),
('10000013','10000036'),
('10000014','10000035'),
('10000015','10000034'),
('10000016','10000033'),
('10000017','10000032'),
('10000018','10000031'),
('10000019','10000030'),
('10000000','10000029'),
('10000001','10000028'),
('10000002','10000027'),
('10000003','10000026'),
('10000004','10000025'),
('10000005','10000024'),
('10000006','10000023'),
('10000007','10000022'),
('10000008','10000021'),
('10000009','10000020'),
('10000010','10000019'),
('10000011','10000018'),
('10000012','10000017'),
('10000013','10000016'),
('10000014','10000015'),
('10000015','10000014'),
('10000016','10000013'),
('10000017','10000012'),
('10000018','10000011'),
('10000019','10000010'),
('10000000','10000009'),
('10000001','10000008'),
('10000002','10000007'),
('10000003','10000006'),
('10000004','10000005'),
('10000005','10000004'),
('10000006','10000003'),
('10000007','10000002'),
('10000008','10000001'),
('10000009','10000000');
