DELETE FROM IncludedProducts;
INSERT INTO IncludedProducts (PlanID, ProdID, Discount) VALUES
('10000011','10000001','38'),
('10000012','10000002','23'),
('10000019','10000003','21'),
('10000012','10000004','10'),
('10000017','10000005','30'),
('10000011','10000006','25'),
('10000000','10000007','11'),
('10000011','10000008','43'),
('10000011','10000009','26'),
('10000019','10000010','4'),
('10000010','10000011','42'),
('10000015','10000012','21'),
('10000001','10000013','29'),
('10000000','10000014','14'),
('10000013','10000015','27'),
('10000005','10000016','47'),
('10000002','10000017','35'),
('10000002','10000018','24'),
('10000005','10000019','32'),
('10000011','10000020','4'),
('10000013','10000021','33'),
('10000006','10000022','13'),
('10000012','10000023','42'),
('10000002','10000024','47'),
('10000001','10000025','32'),
('10000004','10000026','24'),
('10000008','10000027','10'),
('10000011','10000028','37'),
('10000015','10000029','34'),
('10000008','10000030','23'),
('10000007','10000031','15'),
('10000000','10000032','31'),
('10000010','10000033','48'),
('10000002','10000034','35'),
('10000012','10000035','18'),
('10000006','10000036','30'),
('10000018','10000037','45'),
('10000018','10000038','37'),
('10000016','10000039','36'),
('10000014','10000040','25'),
('10000012','10000041','47'),
('10000009','10000042','32'),
('10000005','10000043','16'),
('10000019','10000044','26'),
('10000008','10000045','11'),
('10000000','10000046','9'),
('10000001','10000047','8'),
('10000017','10000048','48'),
('10000010','10000049','11'),
('10000001','10000050','7'),
('10000012','10000051','30'),
('10000003','10000052','42'),
('10000016','10000053','40'),
('10000016','10000054','39'),
('10000011','10000055','10'),
('10000003','10000056','2'),
('10000005','10000057','20'),
('10000008','10000058','18'),
('10000009','10000059','31'),
('10000014','10000060','27'),
('10000016','10000061','50'),
('10000009','10000062','34'),
('10000004','10000063','26'),
('10000006','10000064','8'),
('10000006','10000065','41'),
('10000010','10000066','10'),
('10000017','10000067','27'),
('10000001','10000068','47'),
('10000015','10000069','21'),
('10000014','10000070','4'),
('10000018','10000071','15'),
('10000012','10000072','9'),
('10000011','10000073','47'),
('10000015','10000074','41'),
('10000015','10000075','17'),
('10000017','10000076','49'),
('10000006','10000077','30'),
('10000000','10000078','0'),
('10000014','10000079','39'),
('10000019','10000080','34'),
('10000003','10000081','0'),
('10000016','10000082','8'),
('10000006','10000083','34'),
('10000016','10000084','16'),
('10000014','10000085','22'),
('10000002','10000086','47'),
('10000004','10000087','22'),
('10000012','10000088','43'),
('10000015','10000089','48'),
('10000015','10000090','3'),
('10000013','10000091','13'),
('10000000','10000092','34'),
('10000009','10000093','43'),
('10000011','10000094','12'),
('10000013','10000095','20'),
('10000014','10000096','11'),
('10000015','10000097','14'),
('10000004','10000098','1'),
('10000002','10000099','48'),
('10000007','10000100','43'),
('10000015','10000101','45'),
('10000016','10000102','13'),
('10000014','10000103','28'),
('10000015','10000104','40'),
('10000005','10000105','4'),
('10000012','10000106','9'),
('10000016','10000107','8'),
('10000009','10000108','3'),
('10000001','10000109','26'),
('10000003','10000110','41'),
('10000003','10000111','30'),
('10000005','10000112','21'),
('10000008','10000113','14'),
('10000017','10000114','7'),
('10000008','10000115','41'),
('10000004','10000116','11');
