DELETE FROM InsPlans;
ALTER TABLE InsPlans AUTO_INCREMENT = 10000000;
INSERT INTO InsPlans (CompID, AnnualPremium, AnnualDeductible, PlanContribution, MaxCoverage) VALUES
('10000002','10554','5615','3628','12090'),
('10000002','5906','2208','4436','13800'),
('10000000','3964','9912','2895','8510'),
('10000000','2850','8633','3235','10931'),
('10000002','9740','6623','2482','11152'),
('10000001','9391','6822','4267','10717'),
('10000000','10270','2095','4241','7574'),
('10000002','4599','7555','1511','10153'),
('10000003','5842','1842','4014','10262'),
('10000002','8894','2084','2974','7977'),
('10000001','4649','3880','2952','12746'),
('10000001','7875','6215','4711','12789'),
('10000001','8979','9231','1166','11097'),
('10000000','9854','6486','3387','14271'),
('10000002','9982','5431','4871','5507'),
('10000002','2348','6254','1765','13010'),
('10000002','10662','8578','1949','13481'),
('10000003','7128','9137','2538','14987'),
('10000000','3896','4825','4891','14578'),
('10000001','5079','6145','2619','7827');
