DELETE FROM ProductCosts;
INSERT INTO ProductCosts (ProdID, PharmID, Amount, Cost) VALUES
('10000000','10000002','80990','446'),
('10000001','10000000','74090','725'),
('10000002','10000002','80090','231'),
('10000003','10000001','70640','339'),
('10000004','10000002','58160','776'),
('10000005','10000003','80240','115'),
('10000006','10000000','92380','371'),
('10000007','10000002','11320','138'),
('10000008','10000001','4600','374'),
('10000009','10000002','71100','186'),
('10000010','10000003','2120','599'),
('10000011','10000003','36480','799'),
('10000012','10000000','55550','484'),
('10000013','10000001','24080','278'),
('10000014','10000000','27370','669'),
('10000015','10000002','39470','85'),
('10000016','10000003','74300','592'),
('10000017','10000002','38350','611'),
('10000018','10000000','17770','338'),
('10000019','10000001','98080','715'),
('10000020','10000001','78330','319'),
('10000021','10000003','75740','258'),
('10000022','10000001','54920','720'),
('10000023','10000002','87950','227'),
('10000024','10000002','51180','735'),
('10000025','10000001','26670','67'),
('10000026','10000003','79230','709'),
('10000027','10000001','79600','769'),
('10000028','10000003','12980','720'),
('10000029','10000001','84230','183'),
('10000030','10000001','70120','390'),
('10000031','10000000','69010','48'),
('10000032','10000003','92260','154'),
('10000033','10000000','44310','435'),
('10000034','10000001','61550','37'),
('10000035','10000000','38970','213'),
('10000036','10000001','92910','301'),
('10000037','10000001','66870','608'),
('10000038','10000002','8000','234'),
('10000039','10000003','72120','4'),
('10000040','10000001','60120','276'),
('10000041','10000003','88950','67'),
('10000042','10000001','21620','259'),
('10000043','10000001','23230','708'),
('10000044','10000003','3590','542'),
('10000045','10000001','91570','469'),
('10000046','10000002','56770','581'),
('10000047','10000000','94850','244'),
('10000048','10000002','83510','655'),
('10000049','10000003','52220','602'),
('10000050','10000002','56630','18'),
('10000051','10000002','84640','32'),
('10000052','10000002','96250','51'),
('10000053','10000001','1900','227'),
('10000054','10000002','9120','152'),
('10000055','10000000','85190','314'),
('10000056','10000001','12030','743'),
('10000057','10000000','30560','174'),
('10000058','10000001','63730','788'),
('10000059','10000000','22340','655'),
('10000060','10000002','69160','669'),
('10000061','10000001','52680','356'),
('10000062','10000001','84240','305'),
('10000063','10000002','5890','461'),
('10000064','10000002','46620','380'),
('10000065','10000001','76060','44'),
('10000066','10000001','12090','295'),
('10000067','10000000','36000','293'),
('10000068','10000003','8760','381'),
('10000069','10000002','62290','533'),
('10000070','10000001','22860','388'),
('10000071','10000000','89250','789'),
('10000072','10000001','2370','202'),
('10000073','10000002','7540','275'),
('10000074','10000001','91630','317'),
('10000075','10000001','11910','448'),
('10000076','10000003','89850','638'),
('10000077','10000002','90780','509'),
('10000078','10000001','81200','308'),
('10000079','10000001','18250','277'),
('10000080','10000003','51910','39'),
('10000081','10000002','33060','208'),
('10000082','10000001','80070','163'),
('10000083','10000001','83870','678'),
('10000084','10000000','420','746'),
('10000085','10000002','18400','689'),
('10000086','10000001','16790','137'),
('10000087','10000001','8580','620'),
('10000088','10000002','79660','61'),
('10000089','10000001','43020','664'),
('10000090','10000002','3320','787'),
('10000091','10000001','98960','279'),
('10000092','10000002','93820','794'),
('10000093','10000002','63890','669'),
('10000094','10000001','27900','663'),
('10000095','10000000','29000','97'),
('10000096','10000000','79190','796'),
('10000097','10000000','43990','260'),
('10000098','10000003','35680','494'),
('10000099','10000001','39990','311'),
('10000100','10000001','5320','165'),
('10000101','10000001','83640','731'),
('10000102','10000001','93430','235'),
('10000103','10000001','48290','104'),
('10000104','10000003','29260','73'),
('10000105','10000003','84920','517'),
('10000106','10000002','71510','636'),
('10000107','10000002','88390','376'),
('10000108','10000002','92570','115'),
('10000109','10000000','36280','791'),
('10000110','10000001','4680','305'),
('10000111','10000001','90700','208'),
('10000112','10000000','63510','502'),
('10000113','10000002','75970','331'),
('10000114','10000002','56540','410'),
('10000115','10000002','45110','127');
